€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
€122,000  -€3,000 on 22nd Oct 19 	 Riverside Drive, Quay Road, Ballina, Co Mayo, F26 X3W6
AMV €50,000 	 Buckwaria, Westport, Mayo
€230,000 	 Sheeroe, Westport, Mayo
€125,000 	 35 Hazel Hill Downs, Ballyhaunis, Co. Mayo
€89,000 	 19 Church View, Swinford, Co. Mayo
AMV €56,000 	 Georges Street, Newport, Mayo
€279,500 	 16 Clydagh Park, Turlough Road, Castlebar, Mayo
AMV €125,000 	 Tawnameeltoge, Cuilmore, Newport, Mayo
€265,000 	 Bushfield, Charlestown, Co. Mayo
AMV €70,000 	 Ballybane,Tulrahan, Claremorris, Mayo
AMV €65,000 	 Lisduff, Irishtown, Ballindine, Mayo
€159,000 	 16 Aglish, Castlebar, Mayo
€105,000 	 Site For Sale Lagnavaddoge, Newport Road , Castlebar, Mayo
AMV €220,000 	 1-3 Sli na Slainte Development, Keel , Achill, Mayo
€130,000 	 8 Nephin View Manor, Foxford, Mayo
€20,000 	 Cappanacreha, Tourmakeady, Co Mayo
€90,000 	 The Retreat, Larganboy, Ballyhaunis, Mayo
€230,000 	 The Heathers, Quignashee, Behy Rd, Ballina, Mayo
€230,000 	 Tubberhill, Westport, Mayo
Reserve Not To Exceed €30,000 	 Incomplete House Brackloonagh, Ballina, Co. Mayo
